"name","common_core.x","math_benchmark_met","eng_benchmark_met","common_core.y","math","english","year","Overall","Native American","Asian","Black","Hispanic or Latino","White","number_indiv_subsidized","avg_indiv_income_subsidized","household_income_subsidized","family_expenditure","federal_spending","percent_poverty","number_households_subsidized","household_female_head","household_female_head_with_children","region"
"Alabama","No","21%","48%","No","21%","48%",2017,48123,48713,71682,31289,37578,55771,"183155","5316","973579744","262","505","31","83756","70355.04","39365.32","East South Central"
"Alaska","Yes","41%","56%","Yes","41%","56%",2017,73181,48920,68679,61879,63954,81067,"16960","9327","158184288","501","697","13","7848","5179.68","2432.88","Pacific"
"Arizona","No","35%","52%","No","35%","52%",2017,56581,34849,75862,44757,46900,59018,"91244","5149","469804615","297","634","30","39095","28930.3","14074.2","Mountain"
"Arkansas","No","23%","51%","No","23%","51%",2017,45869,38141,65391,30530,41107,49640,"90852","5758","523119840","259","444","29","46212","35583.24","16636.32","West South Central"
"California","No","72%","84%","No","72%","84%",2017,71805,52436,91622,48559,56151,75460,"979609","7520","7367022985","417","955","25","457835","325062.85","123615.45","Pacific"
"Colorado","No","59%","78%","No","59%","78%",2017,69117,47745,79594,51558,51550,71137,"116502","6366","741686466","316","713","22","57198","40610.58","18303.36","Mountain"
"Connecticut","No","78%","92%","No","78%","92%",2017,74168,32653,86593,46474,46324,81009,"153858","7739","1190677602","379","840","24","75849","59162.22","25030.17","New England"
"Delaware","No","66%","86%","No","66%","86%",2017,62852,38438,98597,44980,47160,67507,"25624","6689","171412922","333","726","24","12182","9867.42","4750.98","South Atlantic"
"District of Columbia","NA","NA","NA","NA","NA","NA",2017,82372,21534,96394,42161,84728,132698,"60242","6769","407807480","340","1063","28","28520","21675.2","9982","South Atlantic"
"Florida","Yes","34%","59%","Yes","34%","59%",2017,52594,45073,70195,40104,47257,55496,"417889","5783","2416777560","324","722","29","187260","147935.4","71158.8","South Atlantic"
"Georgia","No","50%","72%","No","50%","72%",2017,56183,49294,77389,42696,46144,63900,"292936","5288","1549145410","291","631","32","125998","103318.36","57959.08","South Atlantic"
"Hawaii","No","22%","40%","No","22%","40%",2017,77765,36820,83096,54501,72888,77849,"48423","6799","329249776","423","972","19","18892","12657.64","5856.52","Pacific"
"Idaho","No","53%","75%","No","53%","75%",2017,52225,42419,52660,27868,45231,52986,"23744","6233","147991907","308","516","21","11711","8431.92","3513.3","Mountain"
"Illinois","No","68%","88%","No","68%","88%",2017,62992,54161,84308,36755,53109,69131,"420421","6372","2678990802","315","774","28","208498","160543.46","70889.32","East North Central"
"Indiana","Yes","57%","74%","Yes","57%","74%",2017,54181,41858,67481,33415,46767,56888,"160171","5696","912386264","272","520","27","80914","63112.92","29938.18","East North Central"
"Iowa","No","41%","64%","No","41%","64%",2017,58570,38456,66545,30840,46376,60021,"67032","6870","460493206","298","429","19","36866","26174.86","10322.48","West North Central"
"Kansas","No","32%","53%","No","32%","53%",2017,56422,37701,70352,36048,45558,58708,"54950","7284","400259456","284","464","22","31168","22440.96","8103.68","West North Central"
"Kentucky","No","27%","51%","No","27%","51%",2017,48375,23675,58937,35967,42069,50034,"154579","5569","860776674","260","489","29","76602","58217.52","27576.72","East South Central"
"Louisiana","No","20%","48%","No","20%","48%",2017,46145,35455,63161,28222,39465,56643,"193475","5309","1027077906","292","602","32","84561","69340.02","38898.06","West South Central"
"Maine","No","72%","87%","No","72%","87%",2017,56277,37583,48695,24698,45250,56939,"46420","7504","348344168","330","651","22","25301","17710.7","5819.23","New England"
"Maryland","No","67%","86%","No","67%","86%",2017,80776,81653,100019,64120,71376,90570,"187872","7238","1359795971","365","926","20","89797","69143.69","32326.92","South Atlantic"
"Massachusetts","No","81%","92%","No","81%","92%",2017,77385,41410,91150,46925,41995,81924,"354471","8915","3160271400","411","962","23","184165","134440.45","51566.2","New England"
"Michigan","No","68%","87%","No","68%","87%",2017,54909,45187,80968,34757,46222,58841,"256214","6354","1627870918","293","543","30","134858","101143.5","43154.56","East North Central"
"Minnesota","Yes","48%","61%","Yes","48%","61%",2017,68388,36912,74766,38147,50866,71547,"174056","7191","1251620108","338","547","22","85237","60518.27","24718.73","West North Central"
"Mississippi","No","18%","43%","No","18%","43%",2017,43529,32220,56779,29218,42861,54653,"129150","4612","595685776","258","528","34","53396","44852.64","27231.96","East South Central"
"Missouri","No","35%","59%","No","35%","59%",2017,53578,53154,64039,34750,48564,56930,"171513","5908","1013358249","275","512","27","85149","65564.73","30653.64","West North Central"
"Montana","No","36%","56%","No","36%","56%",2017,53386,33396,64235,42040,49589,54697,"22836","6465","147628734","277","507","21","12386","8546.34","3468.08","Mountain"
"Nebraska","Yes","33%","55%","Yes","33%","55%",2017,59970,42412,60458,35673,46646,61744,"50522","6856","346390268","312","433","21","25468","18336.96","7895.08","West North Central"
"Nevada","No","20%","39%","No","20%","39%",2017,58003,41609,64042,39998,51866,61541,"50289","5490","276115902","324","751","25","21982","16486.5","8572.98","Mountain"
"New Hampshire","No","75%","89%","No","75%","89%",2017,73381,43919,82205,50212,61119,73973,"36035","9409","339062152","380","687","16","20966","14885.86","4402.86","New England"
"New Jersey","No","67%","83%","No","67%","83%",2017,80088,51027,118917,50395,54482,85715,"307280","8110","2492093003","385","876","23","155087","117866.12","41873.49","Middle Atlantic"
"New Mexico","No","36%","58%","No","36%","58%",2017,46744,33539,66600,33928,40189,49456,"48006","5407","259553354","275","522","26","22621","16513.33","8143.56","Mountain"
"New York","No","76%","88%","No","76%","88%",2017,64894,41411,70839,44933,46751,73281,"1173703","8633","10132704850","437","842","31","552191","408621.34","154613.48","Middle Atlantic"
"North Carolina","No","29%","43%","No","29%","43%",2017,52752,38236,79780,38320,40546,58925,"257073","5163","1327324250","273","525","29","117775","96575.5","51821","South Atlantic"
"North Dakota","No","35%","51%","No","35%","51%",2017,61843,29557,49167,38210,55998,64213,"18546","7434","137878166","298","476","15","10366","6737.9","2591.5","West North Central"
"Ohio","No","33%","50%","No","33%","50%",2017,54021,34942,71820,32163,40921,58380,"426524","5327","2272049988","259","558","32","213018","161893.68","78816.66","East North Central"
"Oklahoma","Yes","26%","55%","Yes","26%","55%",2017,50051,40528,58930,33464,43667,52625,"99943","5279","527580074","252","493","28","49814","37360.5","18431.18","West South Central"
"Oregon","No","38%","56%","No","38%","56%",2017,60212,45003,77186,37009,50117,60783,"101831","6292","640784241","333","603","23","51087","35760.9","14304.36","Pacific"
"Pennsylvania","No","67%","84%","No","67%","84%",2017,59195,40759,74157,37535,39973,62007,"388139","6974","2706980920","313","629","27","202255","153713.8","62699.05","Middle Atlantic"
"Rhode Island","No","70%","89%","No","70%","89%",2017,63870,42945,70053,37781,41123,68135,"62297","8536","531742379","346","721","24","36043","25950.96","8289.89","New England"
"South Carolina","Yes","25%","43%","Yes","25%","43%",2017,50570,32553,61211,32175,40708,58544,"131862","5062","667535112","264","550","29","59053","50195.05","28935.97","South Atlantic"
"South Dakota","No","46%","65%","No","46%","65%",2017,56521,24385,52538,27054,41443,59851,"21629","6661","144060976","280","473","17","11762","7998.16","3293.36","West North Central"
"Tennessee","No","25%","52%","No","25%","52%",2017,51340,54953,69376,38190,41549,54405,"207448","5413","1122982080","264","506","32","100320","78249.6","39124.8","East South Central"
"Texas","Yes","35%","52%","Yes","35%","52%",2017,59206,53103,84100,45092,46855,61943,"603787","5284","3190081062","304","605","28","256458","207730.98","115406.1","West South Central"
"Utah","No","38%","59%","No","38%","59%",2017,68358,48925,69726,49348,47540,70234,"37480","6101","228645693","311","593","21","18171","12537.99","5451.3","Mountain"
"Vermont","No","62%","83%","No","62%","83%",2017,57513,26104,44409,41572,55339,57937,"21051","8458","178046767","366","702","17","11719","7968.92","2695.37","New England"
"Virginia","Yes","68%","86%","Yes","68%","86%",2017,71535,57399,101515,49562,65433,77085,"213627","5879","1256023818","307","667","24","96781","77424.8","39680.21","South Atlantic"
"Washington","No","57%","70%","No","57%","70%",2017,70979,42127,88753,49300,52212,72254,"174292","6765","1179129783","338","693","21","85649","58241.32","23125.23","Pacific"
"West Virginia","No","32%","68%","No","32%","68%",2017,43469,23250,31626,30077,49605,44539,"57357","5812","333364832","256","494","24","31028","22029.88","9308.4","South Atlantic"
"Wisconsin","No","37%","55%","No","37%","55%",2017,59305,41262,69104,29340,42861,61807,"124112","7774","964802712","320","459","21","70403","51394.19","19008.81","East North Central"
"Wyoming","No","32%","53%","No","32%","53%",2017,60434,44291,44235,NA,51568,60907,"9317","7371","68678040","299","526","13","5442","3863.82","1469.34","Mountain"
